Country,City,AccentCity,Region,Population,Latitude,Longitude
at,vienna,Vienna,09,1569315.0,48.2,16.366667
be,brussels,Brussels,11,1019022.0,50.833333,4.3333330000000005
bg,sofia,Sofia,42,1062065.0,42.6833333,23.3166667
ch,aarau,Aarau,01,15007.0,47.389616,8.052354
ch,altdorf,Altdorf,21,8833.0,46.880421999999996,8.644409
ch,appenzell,Appenzell,10,5541.0,47.328914000000005,9.410547
ch,basel,Basel,04,164474.0,47.558395000000004,7.573271000000001
ch,bellinzona,Bellinzona,20,17006.0,46.195201000000004,9.02283
ch,bern,Bern,05,123018.0,46.916667,7.466667
ch,chur,Chur,09,32874.0,46.856753000000005,9.526917999999998
ch,delemont,Delemont,26,11567.0,47.366429,7.329005
ch,frauenfeld,Frauenfeld,19,22639.0,47.558159,8.898544000000001
ch,fribourg,Fribourg,06,33806.0,46.79572,7.154748
ch,geneva,Geneva,07,181492.0,46.195602,6.1481129999999995
ch,glarus,Glarus,08,5889.0,47.04057,9.068036
ch,herisau,Herisau,02,15444.0,47.386276,9.280778999999999
ch,lausanne,Lausanne,23,118015.0,46.533333,6.6666669999999995
ch,liestal,Liestal,03,12491.0,47.482779,7.742975
ch,luzern,Luzern,11,57269.0,47.083333,8.266667
ch,neuchatel,Neuchatel,12,31216.0,46.993089000000005,6.93005
ch,sankt gallen,Sankt Gallen,15,,47.42539,9.377614999999999
ch,sarnen,Sarnen,14,9405.0,46.898509000000004,8.250681
ch,schaffhausen,Schaffhausen,16,34445.0,47.697316,8.634929
ch,schwyz,Schwyz,17,14425.0,47.027858,8.656112
ch,sion,Sion,22,28246.0,46.229076,7.359417
ch,solothurn,Solothurn,18,15292.0,47.206649,7.516605
ch,stans,Stans,13,7620.0,46.958449,8.365995
ch,zug,Zug,24,24197.0,47.172421,8.517445
ch,zurich,Zurich,25,346185.0,47.366667,8.55
cy,nicosia,Nicosia,04,42342.0,35.1666667,33.3666667
cz,prague,Prague,52,1154508.0,50.083333,14.466667000000001
de,berlin,Berlin,10,,54.033333,10.45
dk,copenhagen,Copenhagen,17,1089958.0,55.666667000000004,12.583333
ee,tallinn,Tallinn,01,394023.0,59.4338889,24.7280556
es,madrid,Madrid,29,3102644.0,40.408566,-3.69222
fi,helsinki,Helsinki,13,558457.0,60.17555600000001,24.934167000000002
fr,paris,Paris,A8,2110694.0,48.866667,2.333333
gb,london,London,H9,7421228.0,51.514125,-0.093689
gr,athens,Athens,35,729139.0,37.9833333,23.7333333
hr,zagreb,Zagreb,21,698967.0,45.8,16.0
hu,budapest,Budapest,05,1708088.0,47.5,19.083333
is,reykjavik,Reykjavik,10,113907,64.15,-21.95
ie,dublin,Dublin,07,1024027.0,53.3330556,-6.2488889
it,rome,Rome,07,2643736.0,41.9,12.483333
lt,vilnius,Vilnius,65,542381.0,54.6833333,25.3166667
lu,luxembourg,Luxembourg,03,,49.6116667,6.13
lv,riga,Riga,25,742570.0,56.95,24.1
mk,skopje,Skopje,41,474887.0,42.0,21.4333333
mt,valletta,Valletta,00,6794.0,35.899722,14.514722
nl,amsterdam,Amsterdam,07,745811.0,52.35,4.9166669999999995
no,oslo,Oslo,12,808690.0,59.916667000000004,10.75
pl,warsaw,Warsaw,78,1651676.0,52.25,21.0
pt,lisbon,Lisbon,14,517798.0,38.716667,-9.133333
ro,bucharest,Bucharest,10,1877155.0,44.433333000000005,26.1
se,stockholm,Stockholm,07,,61.883056,13.75
si,ljubljana,Ljubljana,04,255115.0,46.0552778,14.514444400000002
sk,bratislava,Bratislava,02,423737.0,48.15,17.1166667
tr,ankara,Ankara,68,3519177.0,39.911652000000004,32.840305
